time,frequency,confidence
124.000,259.791,0.802545
124.500,263.870,0.729996
125.000,261.835,0.795869
125.500,256.017,0.766158
126.000,235.452,0.876216
126.500,218.696,0.813487
127.000,203.098,0.244165
127.500,195.303,0.743741
128.000,187.932,0.675167
128.500,170.057,0.176383
129.000,164.557,0.869963
129.500,166.069,0.837768
130.000,165.266,0.707765
130.500,163.692,0.431756
131.000,163.735,0.898777
131.500,161.984,0.905512
132.000,160.582,0.906847
132.500,161.288,0.941101
