time,frequency,confidence
12.250,526.658,0.834763
12.300,504.101,0.955499
12.350,522.591,0.766408
12.400,526.391,0.810513
12.450,521.076,0.598634
12.500,519.633,0.835809
12.550,523.046,0.567304
12.600,521.582,0.951700
12.650,522.092,0.917029
12.700,522.464,0.771570
12.750,525.677,0.452875
12.800,521.376,0.943165
12.850,522.506,0.942758
12.900,517.535,0.896452
12.950,522.032,0.860756
13.000,525.786,0.863141
13.050,524.105,0.926706
13.100,522.454,0.834255
13.150,524.477,0.545124
13.200,525.317,0.851541
13.250,523.343,0.944049
13.300,522.393,0.924999
13.350,521.376,0.745549
13.400,523.030,0.818115
13.450,525.001,0.916126
13.500,520.406,0.606324
13.550,520.692,0.406474
13.600,519.523,0.774924
13.650,517.054,0.692140
13.700,523.959,0.899484
13.750,514.610,0.873968
13.800,497.593,0.788642
13.850,500.930,0.870201
13.900,526.210,0.940210
13.950,525.246,0.890235
14.000,587.153,0.953262
14.050,576.275,0.647324
14.100,523.104,0.915427
14.150,522.696,0.918775
14.200,499.972,0.849607
14.250,496.817,0.812258
14.300,521.237,0.918489
14.350,522.967,0.944850
14.400,525.298,0.712921
14.450,527.063,0.885924
14.500,525.315,0.864164
14.550,526.842,0.947145
14.600,502.666,0.809965
14.650,498.128,0.768596
14.700,523.689,0.938296
14.750,526.772,0.745835
14.800,523.156,0.837756
14.850,515.587,0.253486
14.900,524.651,0.830791
14.950,519.450,0.895879
15.000,523.344,0.395989
15.050,524.598,0.517019
15.100,525.690,0.957054
15.150,524.435,0.952528
15.200,522.376,0.911390
15.250,523.596,0.707419
15.300,520.125,0.712993
15.350,523.191,0.779526
15.400,517.242,0.477383
15.450,517.054,0.664661
15.500,522.798,0.847867
15.550,524.681,0.938303
15.600,520.611,0.712986
15.650,520.922,0.775182
15.700,521.801,0.287486
15.750,523.371,0.778890
15.800,521.535,0.853684
15.850,522.489,0.669776
15.900,535.596,0.583315
15.950,521.341,0.912704
16.000,522.878,0.906863
16.050,522.616,0.905774
16.100,516.654,0.943225
16.150,514.480,0.852160
16.200,525.917,0.805794
16.250,509.873,0.867945
16.300,495.672,0.962659
16.350,505.193,0.889325
16.400,521.757,0.940570
16.450,518.790,0.924542
16.500,521.830,0.641691
16.550,520.821,0.528309
16.600,520.675,0.815451
16.650,519.994,0.850640
16.700,515.817,0.794292
16.750,496.870,0.948002
16.800,523.939,0.918409
16.850,523.614,0.809509
16.900,516.848,0.744793
16.950,516.627,0.963888
17.000,518.462,0.529558
17.050,522.931,0.854028
17.100,523.331,0.803362
17.150,498.149,0.782197
17.200,507.107,0.804328
17.250,524.132,0.942637
17.300,518.563,0.718367
17.350,523.979,0.892343
17.400,515.221,0.943008
17.450,519.384,0.894035
17.500,523.480,0.724209
17.550,506.787,0.480883
17.600,497.589,0.776962
17.650,507.382,0.708317
17.700,528.062,0.789619
17.750,531.725,0.680922
17.800,525.451,0.370369
17.850,527.825,0.172920
17.900,528.232,0.587579
17.950,523.588,0.308189
18.000,504.536,0.403511
18.050,495.355,0.870531
18.100,523.020,0.755184
18.150,524.258,0.817742
18.200,524.116,0.746201
18.250,517.468,0.667373
18.300,521.619,0.667960
18.350,518.506,0.611779
18.400,524.606,0.867311
18.450,508.611,0.699243
18.500,497.097,0.752980
18.550,522.066,0.920362
18.600,520.528,0.939627
18.650,520.711,0.848535
18.700,491.368,0.707114
18.750,432.381,0.966752
18.800,392.113,0.775705
18.850,347.964,0.668361
18.900,325.221,0.361757
18.950,333.110,0.641828
19.000,340.188,0.521533
19.050,347.451,0.752547
19.100,389.572,0.459329
19.150,395.780,0.914325
19.200,421.431,0.740371
19.250,498.236,0.886706
19.300,524.061,0.916870
